Tên người nhận xét,Đánh giá,Nội dung,Thời gian
Giovanni,5,"Giá hơi cao nhưng xứng. Cà phê tốt, pastry ngon, croissant nổi tiếng. Hôm phục vụ chậm, chờ 20p.",12/12/2025 15:06
Nguyễn Minh Tiến,5,"Lần đầu tới hơi ngại nhưng thiết kế đẹp, tường hình phố Hà Nội xưa. Cà phê mùi chua lạ lẫm, hỏi thì loại đặc từ Đà Lạt. Sẽ quay lại thử khác.",25/11/2025 15:06
David Kim,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",16/02/2026 15:06
Trần Thị Hương,5,"Ấn tượng cách phục vụ. Nhân viên kiểm tra lạnh, nếu quá thay cốc. Cà phê khác từ trước nhưng ngon.",14/03/2026 15:06
Jennifer Kim,5,"Giá hơi cao nhưng xứng. Cà phê tốt, pastry ngon, croissant nổi tiếng. Hôm phục vụ chậm, chờ 20p.",26/12/2025 15:06
Nguyễn Minh Tiến,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",31/12/2025 15:06
Alex Brown,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",04/03/2026 15:06
Trần Thị Hương,5,"Giá hơi cao nhưng xứng. Cà phê tốt, pastry ngon, croissant nổi tiếng. Hôm phục vụ chậm, chờ 20p.",18/12/2025 15:06
Maria Garcia,5,"Ấn tượng cách phục vụ. Nhân viên kiểm tra lạnh, nếu quá thay cốc. Cà phê khác từ trước nhưng ngon.",30/10/2025 15:06
Giovanni,5,"Quán hay khách nước ngoài. Hôm chứng kiến giải thích pha cà phê cho Pháp. Lâu lâu vui. Ngon, không phàn nàn.",08/01/2026 15:06
Sarah Thompson,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",09/12/2025 15:06
Lê Thu Oanh,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",02/03/2026 15:06
Đỗ Thanh Hồng,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",25/11/2025 15:06
Chen,5,"Quán hay khách nước ngoài. Hôm chứng kiến giải thích pha cà phê cho Pháp. Lâu lâu vui. Ngon, không phàn nàn.",26/02/2026 15:06
Ngô Minh Khang,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",30/01/2026 15:06
Nguyễn Văn Anh,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",26/02/2026 15:06
Trần Thị Hương,5,"Đã ghé 10+ lần. Cà phê ngon, không đắng hay nhạt. Lớp foam cappuccino mịn tuyệt. Không gian yên, wifi tốt. Nhân viên nhớ tên và loại yêu thích. Hôm chờ 15p vì bận.",25/03/2026 15:06
Alex Brown,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",23/12/2025 15:06
Trần Vinh,5,"Ấn tượng cách phục vụ. Nhân viên kiểm tra lạnh, nếu quá thay cốc. Cà phê khác từ trước nhưng ngon.",16/02/2026 15:06
Lê Thu Oanh,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",20/01/2026 15:06
Sarah Thompson,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",19/10/2025 15:06
Michael Wilson,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",26/02/2026 15:06
Marcus Chen,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",13/01/2026 15:06
Hoàng Nhật Hà,5,"Amazing! Tìm by accident. Owner friendly, explained culture. Egg coffee silky sweet. Come back tomorrow. Wifi changed inconvenient.",25/10/2025 15:06
Trần Vinh,5,"Giá hơi cao nhưng xứng. Cà phê tốt, pastry ngon, croissant nổi tiếng. Hôm phục vụ chậm, chờ 20p.",19/10/2025 15:06
David Kim,5,"Cà phê yên bình nhưng đắt quá! 100k/tách. Quán bận hết chỗ ngồi. Nhân viên hơi vô ý. Mất vẻ nhỏ xinh trước.",16/02/2026 15:06
Lê Thu Oanh,5,"Ghé trốn ồn. Quán yên tĩnh. Cà phê mát lạnh, mùi thơm. Cà phê sữa đặc - máy foam Italy. Tuyệt!",20/10/2025 15:06
Patrick,5,"Ấn tượng cách phục vụ. Nhân viên kiểm tra lạnh, nếu quá thay cốc. Cà phê khác từ trước nhưng ngon.",31/12/2025 15:06
Lê Thu Oanh,5,"Amazing! Tìm by accident. Owner friendly, explained culture. Egg coffee silky sweet. Come back tomorrow. Wifi changed inconvenient.",05/12/2025 15:06
Alex Brown,5,"Quán hay khách nước ngoài. Hôm chứng kiến giải thích pha cà phê cho Pháp. Lâu lâu vui. Ngon, không phàn nàn.",17/02/2026 15:06
Lê Thu Oanh,5,"Cà phê yên bình nhưng đắt quá! 100k/tách. Quán bận hết chỗ ngồi. Nhân viên hơi vô ý. Mất vẻ nhỏ xinh trước.",01/12/2025 15:06
Patrick,5,"Amazing! Tìm by accident. Owner friendly, explained culture. Egg coffee silky sweet. Come back tomorrow. Wifi changed inconvenient.",22/03/2026 15:06
Phạm Huỳnh Minh Tuấn,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",19/02/2026 15:06
Nguyễn Văn Anh,5,"Lần đầu tới hơi ngại nhưng thiết kế đẹp, tường hình phố Hà Nội xưa. Cà phê mùi chua lạ lẫm, hỏi thì loại đặc từ Đà Lạt. Sẽ quay lại thử khác.",26/01/2026 15:06
Sarah Thompson,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",05/01/2026 15:06
Giovanni,5,"Cà phê yên bình nhưng đắt quá! 100k/tách. Quán bận hết chỗ ngồi. Nhân viên hơi vô ý. Mất vẻ nhỏ xinh trước.",20/03/2026 15:06
Nguyễn Minh Tiến,5,"Ấn tượng cách phục vụ. Nhân viên kiểm tra lạnh, nếu quá thay cốc. Cà phê khác từ trước nhưng ngon.",19/02/2026 15:06
Nguyễn Văn Anh,5,"Giá hơi cao nhưng xứng. Cà phê tốt, pastry ngon, croissant nổi tiếng. Hôm phục vụ chậm, chờ 20p.",19/11/2025 15:06
Ngô Minh Khang,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",02/11/2025 15:06
Trần Vinh,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",21/02/2026 15:06
Nguyễn Minh Tiến,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",16/10/2025 15:06
