danh_muc,tên,địa_chỉ,loại,xếp_hạng,số_bình_luận,điện_thoại,trang_web,amenities,id_cid,id_dữ_liệu,mô_tả,extensions,giá_trích_xuất,tọa_độ_vĩ_độ,tọa_độ_kinh_độ,giờ_mở_cửa,trạng_thái_mở,operating_hours_chu_nhat,operating_hours_friday,operating_hours_monday,operating_hours_saturday,operating_hours_sunday,operating_hours_thu_ba,operating_hours_thu_bay,operating_hours_thu_hai,operating_hours_thu_nam,operating_hours_thu_sau,operating_hours_thu_tu,operating_hours_thursday,operating_hours_tuesday,operating_hours_wednesday,order_online,photos_link,id_địa_điểm,tìm_kiếm_id_địa_điểm,position,giá,provider_id,reserve_a_table,reviews_link,serpapi_thumbnail,service_options_an_tai_cho,service_options_curbside_pickup,service_options_delivery,service_options_dich_vu_tai_cho,service_options_dine_in,service_options_drive_through,service_options_giao_hang,service_options_giao_hang_khong_tiep_xuc,service_options_in_store_pickup,service_options_in_store_shopping,service_options_kerbside_pickup,service_options_mang_di,service_options_mua_mang_di_bang_xe,service_options_mua_sam_tai_cua_hang,service_options_nhan_tai_cua_hang,service_options_no_contact_delivery,service_options_outdoor_seating,service_options_takeaway,service_options_takeout,hình_thu_nhỏ,type_id,type_ids,types,unclaimed_listing,unsupported_extensions
Chợ,Chợ Gò Vấp,"188 Đ.Nguyễn Văn Nghi, Phường 1, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Chợ,4.6,126.0,,,,1388089037094459036,0x317529003ad717f7:0x13437b9ff4a1169c,,"[{""tien_ich"": [""Nhà vệ sinh""]}]",,10.8237108,106.6869325,,,,,,,,,,,,,,,,,,https://serpapi.com/search.json?data_id=0x317529003ad717f7%3A0x13437b9ff4a1169c&engine=google_maps_photos&hl=en,ChIJ9xfXOgApdTERnBah9J97QxM,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ9xfXOgApdTERnBah9J97QxM,1,,/g/11wwgfq5n_,,https://serpapi.com/search.json?data_id=0x317529003ad717f7%3A0x13437b9ff4a1169c&engine=google_maps_reviews&hl=en,https://serpapi.com/images/url/-WqSB3icBcFBcoIwFADQE32JIjI64yIOCnSwihUo3TA0jcEW-DEJpOWMvUBv0_f-fhtjpN44Ttu4M4EoWj5orhj2hvdmxrBzhNTANGiHRjm1XHL7wCxk6jlNxyJfnu_HG8j3gZ7I4pK5R7e6sfIATTwB0vne4GH542FtVwW1Varw6kUn8bTjU12kL0CgvFR3kr1mHa7KADtgJJjGencV6zL08qSIdTB-fgd1JNsh2SejdDFUSvvm7cOPt3buE2jWC_iCHv8BzNJHDA,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepewqoUGcrNQQvWV4PiMf-pbuAO02RU3M3_fcYF-hIz-oA1EtoF4y5oaw6WAw_QroT5HOgJBezaWQS-0-YR_i0UXUmo6YDom-c0DzvaBTg9YG5VLWIsDvjxDaHpluLELvp3oGrrs7tZd7I=w170-h92-k-no,market,"[""market""]","[""Chợ""]",True,
Chợ,Chợ Hoàng Mai,"Phường 15, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Chợ thực phẩm tươi,4.4,121.0,+84 356 714 350,,,98234815896320721,0x317529b11193c6e1:0x15d000b6a137ad1,,,,10.8488861,106.6684924,Đóng cửa · Mở lúc 6 AM,Đóng cửa · Mở lúc 6 AM,6 AM–12 PM,,,,,6 AM–12 PM,6 AM–12 PM,6 AM–12 PM,6 AM–12 PM,6 AM–12 PM,6 AM–12 PM,,,,,https://serpapi.com/search.json?data_id=0x317529b11193c6e1%3A0x15d000b6a137ad1&engine=google_maps_photos&hl=en,ChIJ4caTEbEpdTER0XoTagsAXQE,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ4caTEbEpdTER0XoTagsAXQE,2,,/g/11c1p5f41s,,https://serpapi.com/search.json?data_id=0x317529b11193c6e1%3A0x15d000b6a137ad1&engine=google_maps_reviews&hl=en,https://serpapi.com/images/url/i81EE3icBcHbDoIgAADQL0JNy1VbD1Sum9plpfHUkgw0AxSQxv_1Ef1N5_y-VCkhp67b0MAhnJOm1LLsMGeqZMrB_O0SIQGWQLpwnUFTtghZEKJLUlVZR3cFhpZH1n7CKIoN88R4v5QEqsDfU6pHfnoWu_lhriGzVwqS9qHTUeGTe4Vi3oPqWdziWnWb6yno6Dtnw9V6ollyDOvtYmWEyZoNybO-N1uuVN6idCge-N6QmRl7gA68ELwA439qeEbX,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqYYz-6YUMiiVrhKbcAzoEzzx6EELwn0p8ODsgAt32Ohhu52NTpKBPBuAnzXh-MqduN5b2gaiYLov-ifb_LjtrIXR3rhmWn4GH9unMQ6jJCGwpwVlIgWVvvwJottWqYN4pdcalg=w80-h106-k-no,fresh_food_market,"[""fresh_food_market"", ""market""]","[""Chợ thực phẩm tươi"", ""Chợ""]",,
Chợ,Chợ An Nhơn,"394 Đ. Lê Đức Thọ, Khu phố 2, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Chợ,4.5,74.0,,,,12251240788811697868,0x317529006c2daa49:0xaa0526966ae5cecc,,"[{""kha_nang_tiep_can"": [""Nhà vệ sinh cho xe lăn""]}, {""tien_ich"": [""Nhà vệ sinh""]}]",,10.8414,106.677367,,,,,,,,,,,,,,,,,,https://serpapi.com/search.json?data_id=0x317529006c2daa49%3A0xaa0526966ae5cecc&engine=google_maps_photos&hl=en,ChIJSaotbAApdTERzM7lapYmBao,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJSaotbAApdTERzM7lapYmBao,3,,/g/11wbx5qlx_,,https://serpapi.com/search.json?data_id=0x317529006c2daa49%3A0xaa0526966ae5cecc&engine=google_maps_reviews&hl=en,https://serpapi.com/images/url/OTimwHicBcHdEoFAGADQJ1pRMZhxoRil6IddujJaq6J2q293LC_oGbyNc37fUsoW5oZRl9agEKKomQLWU8El43JARWMULSAKCIylR5Yv1qaVtolNr88Ex03MrHWHNUZ2esiQAOY_7v2kmaZuE-fbIZ-euLOyrkUmwru1psiBXXxKAt93cs66WrWHnugw6lQ0ysnRHuOzF932-2AY6I8St_cmdMcerTBcMlC5nrnnFZGhrFSyeI1ME5UzEz0RF3-BB0YH,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepRix4V4cakQUPmPe3EqUxU-4RSY-oseIjfr6m8RCmPbJ0n8WnBD3agYoLf3Ec-BsMPWQKIIBbneqlupSrVxLOquO1bVT45UXHOdNNK0KxzuodyGLC5HciUs_Ysubx9CXDVtLtiuQ=w122-h92-k-no,market,"[""market""]","[""Chợ""]",True,
Chợ,Chợ Thạch Đà,"Đ. Phạm Văn Chiêu, Phường 8, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Chợ trời,3.9,1384.0,+84 934 541 331,,,409317018956122391,0x317529bdf4dcad43:0x5ae2fa8fb66c917,,"[{""tien_ich"": [""Nhà vệ sinh""]}, {""thanh_toan"": [""Thẻ tín dụng""]}]",,10.8503923,106.6529399,Đóng cửa · Mở lúc 5 AM,Đóng cửa · Mở lúc 5 AM,5 AM–6 PM,,,,,5 AM–6 PM,5 AM–6 PM,5 AM–6 PM,5 AM–6 PM,5 AM–6 PM,5 AM–6 PM,,,,,https://serpapi.com/search.json?data_id=0x317529bdf4dcad43%3A0x5ae2fa8fb66c917&engine=google_maps_photos&hl=en,ChIJQ63c9L0pdTERF8lm-6gvrgU,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJQ63c9L0pdTERF8lm-6gvrgU,4,,/g/11c54_p0dk,,https://serpapi.com/search.json?data_id=0x317529bdf4dcad43%3A0x5ae2fa8fb66c917&engine=google_maps_reviews&hl=en,https://serpapi.com/images/url/Fa2dAXicBcHdboIwGADQJ6rEEqddsgtth_Lj1MbI4MY48lEGtKW0gviMewHfZue8_irnOvvueW3lz4TWooW7hb7QyoFys0JLT3QWFRZZb727rEfQ5BBODb0fZPhM3RIT3n7v1ARzYwYrx_2ZCXoa-NKsHkeMJydRTXrKk2iRn_2qjIEGbNomGoJj4eeXuPm8nuLb45eYfVl-rbif5rXrOF3kIKOeQZT9GPEWpVlc4oFt6iTcSpZ16hk0G_0xzjFGFcGoQUr_AyLYR7w,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo9OIykCuOmIzWt729RlXHnye1qqvsmwMTDgCQvR7q8xP22ytm-j9rCRLJ5ZT3hfKeCFDyGLoeFPc3ZVKkE_QKaxi9qMffN8R3WZjtpRC5ZemJrDeJYbqg6JWYKf2vDBjLIGmDYpnzFkBo=w122-h92-k-no,flea_market,"[""flea_market""]","[""Chợ trời""]",,
Chợ,Chợ đầu mối nông sản,"1331 Đ. Lê Đức Thọ, Phường 15, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Chợ,4.3,79.0,,,,15501631007919152740,0x31752930cfda828b:0xd720db4542339e64,,,,10.8585147,106.6515274,Đóng cửa · Mở lúc 6 AM,Đóng cửa · Mở lúc 6 AM,6 AM–6 PM,,,,,6 AM–6 PM,6 AM–6 PM,6 AM–6 PM,6 AM–6 PM,6 AM–6 PM,6 AM–6 PM,,,,,https://serpapi.com/search.json?data_id=0x31752930cfda828b%3A0xd720db4542339e64&engine=google_maps_photos&hl=en,ChIJi4LazzApdTERZJ4zQkXbINc,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJi4LazzApdTERZJ4zQkXbINc,5,,/g/11j2n8gq66,,https://serpapi.com/search.json?data_id=0x31752930cfda828b%3A0xd720db4542339e64&engine=google_maps_reviews&hl=en,https://serpapi.com/images/url/CbohBXicBcFLUoMwAADQEwVC2hnQGRfhp1bAllpK2XQgRIIQAiQ02Pt5CG_T9_7_mFKjfDbNnm2MRoimp4ukMxGDooMyiOBmM0pAJJAmfsuwpqJM5z3ghzX3JuTg5IwSPFt4tKnO6NddR0v21NmW-j4vQ62V2rkph-26gewns72Y-atXOK5fHArvelvrKs3392OZiNMu4O8f7Lev0O31MlmxmlwYllHgE1YRDsMgT0J0bMEl_CTwRTsQMGuLQAcG8QAD2ESE,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoaRrP-mQxXCq28ANW2NAr1Ap7ewVeTzwLuV9k71tfWundwttJBRm0ix30hjV7CMhDxCZ8BDZQZC_vxdbRXPzSaNoUJEmIKhylb2vGYq1MtqB0FaLEDchbcm0FEXNF2Si-YFOc0=w80-h142-k-no,market,"[""market""]","[""Chợ""]",True,
Chợ,Can Cu Chợ,"14/1 Đ. Lê Thị Hồng, Phường 1, Gò Vấp, Thành phố Hồ Chí Minh 700000, Việt Nam",Chợ,4.2,427.0,+84 962 419 038,,,10484703344488925621,0x317528ffb9e991e7:0x91812624379cc9b5,,,,10.8321867,106.6779059,Đóng cửa · Mở lúc 5:30 AM,Đóng cửa · Mở lúc 5:30 AM,5:30 AM–8 PM,,,,,5:30 AM–8 PM,5:30 AM–8 PM,5:30 AM–8 PM,5:30 AM–8 PM,5:30 AM–8 PM,5:30 AM–8 PM,,,,,https://serpapi.com/search.json?data_id=0x317528ffb9e991e7%3A0x91812624379cc9b5&engine=google_maps_photos&hl=en,ChIJ55Hpuf8odTERtcmcNyQmgZE,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ55Hpuf8odTERtcmcNyQmgZE,6,,/g/11f2wf28km,,https://serpapi.com/search.json?data_id=0x317528ffb9e991e7%3A0x91812624379cc9b5&engine=google_maps_reviews&hl=en,https://serpapi.com/images/url/B1tRE3icBcFLDoIwFADAE1UKKB8TFyhFiRjBEj8sqQWihYe0gHg_D-FtnPl9K6VaudQ0UZmzEqAUvJe8Y9Ao3qgZg1orW4mYRFLzdmdv5C_hHE-6dd2-92SKzHyRxbBzveIqegq6UfA8Aj84AULD-65wkZyn0ZYLxm5QRxtysLMkzWKX7tt5CG5-uPtd0hNKDNPfRizugrVMwukzDBw2WBiP3q-eYWBdWs8xUJjWmHJi09XoYFTp2EJP1MAfmHZDbg,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweql8OR16XGxKEyL3b5ZPoH9AfXluSo12febLoDFRo--vxdt0fQVyw7s5ccYomLCEM7ZQTZP9SKp4Io9bMdDrQuESE23DGLcPrFBsQIyzvveoC0l2juDhkIF6WpA82-ITm0SeE7S=w80-h106-k-no,market,"[""market""]","[""Chợ""]",,"[{""accessibility"": [""Wheelchair accessible parking lot""]}]"
Chợ,Go Vap Chợ dining area,"RMFP+MF4, Lý Thường Kiệt, Phường 1, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Chợ,4.2,154.0,,,,8214319738426188666,0x317528fac292f023:0x71ff2047e05f637a,,"[{""tien_ich"": [""Nhà vệ sinh""]}]",,10.8241312,106.6861926,Đóng cửa · Mở lúc 7 AM,Đóng cửa · Mở lúc 7 AM,7 AM–12 AM,,,,,7 AM–12 AM,7 AM–12 AM,7 AM–12 AM,7 AM–12 AM,7 AM–12 AM,7 AM–12 AM,,,,,https://serpapi.com/search.json?data_id=0x317528fac292f023%3A0x71ff2047e05f637a&engine=google_maps_photos&hl=en,ChIJI_CSwvoodTERemNf4Ecg_3E,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJI_CSwvoodTERemNf4Ecg_3E,7,,/g/11c2l1t73c,,https://serpapi.com/search.json?data_id=0x317528fac292f023%3A0x71ff2047e05f637a&engine=google_maps_reviews&hl=en,https://serpapi.com/images/url/FuVYgXicDcxRboIwGADgE1XAmokmPjRIqSgRM6bCi1lrLUptK38NZvfbIbzN9h3ge_-23juYB4Fu8UhZq7R8guyFNV4aPxL2HigHSACCgLA9GWRvWVOXqMrWXrMSyMGvKe60OqVQV__Ddtwy91XsQ5fy_jTFScIeQsNZdzHDRSI_Dbg0nGzpUeHoMrnZ11D2vMizb8XF8W7zIY9uqxm_ZhXpLummMTHhbrP6oUtaN_RJxjsS08UQh6iNwg_UIWP_AAEKRHI,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweroHZYP-TGKtlHPsAWtKF3klg_EsYTgooO2hHpUMV0pEbr_73CCHqclsdlk8H3MCeSnspE04OFXg31f4joxwPrbMJGagbcXmoJwJ1jI9biGTAkfELZn8AbpLIzFDFYZFuA2QA8F=w80-h106-k-no,market,"[""market""]","[""Chợ""]",True,
Chợ,Chợ Hạnh Thông Tây,"17/1R, Đường Quang Trung, Phường 11, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Chợ,4.1,86.0,,,,12235577232197257320,0x3175290033f37411:0xa9cd80aa72f98868,,"[{""tien_ich"": [""Nhà vệ sinh""]}]",,10.8361073,106.6588277,Đóng cửa · Mở lúc 9 AM,Đóng cửa · Mở lúc 9 AM,9 AM–11 PM,,,,,9 AM–11 PM,9 AM–11 PM,9 AM–11 PM,9 AM–11 PM,9 AM–11 PM,9 AM–11 PM,,,,,https://serpapi.com/search.json?data_id=0x3175290033f37411%3A0xa9cd80aa72f98868&engine=google_maps_photos&hl=en,ChIJEXTzMwApdTERaIj5cqqAzak,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJEXTzMwApdTERaIj5cqqAzak,8,,/g/11mddzpq7t,,https://serpapi.com/search.json?data_id=0x3175290033f37411%3A0xa9cd80aa72f98868&engine=google_maps_reviews&hl=en,https://serpapi.com/images/url/n5xfIXicBcFRkoIgAADQE5EprWkzfTg7u6OVZUqa_DhlDGQGJJDmHTtAt-m9z5tpLdXCsloGJ1QI2hKjSFcLrgnXk1rcLSoVqBVQVhDmQU8exwy60-t2fS95rLIuTmx9LooEsT0Q7XCYN6ss3b10L7Yo8Ydj8qA223jK-0NPfDJlEUTDmKKKYfiL8dUpfOKH_xF3hakqyQxOzSyf5zI0zQHPxtBzpefAHx41HaGv3Tim6wsuS6QVovFq2dsuBMx3wA1w8QVvA0h7,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqXS360iNKmYnMsSrMP1tbWWPThQ-olxU7jJSROytwoNTP9xXPqg1hL8s8ETvZauYWAIxzRT_hZ3CZZi2W9e9HFIn6ou__phuZRu4V7VpHujUZ4zH86p8235nIjregyOzzRKdZYYTtsTgMJ=w163-h92-k-no,market,"[""market""]","[""Chợ""]",True,
Chợ,Cầu Chợ,"Đ. Tô Ký, Đông Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Chợ,4.1,2435.0,,,,9250584156643207618,0x31752985f5a6a2d9:0x8060ad475d9329c2,,"[{""tien_ich"": [""Nhà vệ sinh""]}]",,10.8472269,106.6358263,Mở cửa 24 giờ,Mở cửa 24 giờ,Mở cửa 24 giờ,,,,,Mở cửa 24 giờ,Mở cửa 24 giờ,Mở cửa 24 giờ,Mở cửa 24 giờ,Mở cửa 24 giờ,Mở cửa 24 giờ,,,,,https://serpapi.com/search.json?data_id=0x31752985f5a6a2d9%3A0x8060ad475d9329c2&engine=google_maps_photos&hl=en,ChIJ2aKm9YUpdTERwimTXUetYIA,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ2aKm9YUpdTERwimTXUetYIA,9,,/g/11btrs0wtg,,https://serpapi.com/search.json?data_id=0x31752985f5a6a2d9%3A0x8060ad475d9329c2&engine=google_maps_reviews&hl=en,https://serpapi.com/images/url/MAAX6HicBcFbsoIgAADQFZElddNm-ojbw-kxU5Sa_F0R4YoJCYbj_lpEu-mcz1tYq83C82oBR1wpXrPOsJaqxrLGjqh6eFwbQA0w3ipKVo61cowGDM9JlQ59ULpexHlalznQF53KQNCdz_mFBzUyczatqmEN_HJeuFk2mRH-ItGhl_ja7TaksTd6iOUT7TnOOvf7f8ewyF1U4PPpSWSOtg-YrUn8QvdQtqc9DI90m5g_KEu9dJMfCEToAwka9QVejEXP,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerk0BzR3PVjWzx8fwxhUbWlfb-pQpWk8hcG2ggQg8lBs7e4jjzD-2f7dw5Y15ZgvZHKxkRSuGEZntTcKUkqBJgRYuwCiXR3dbwHdRPMqZkbBFm3YDZUvBX9krMJ39LcFVsa3kfp=w163-h92-k-no,market,"[""market""]","[""Chợ""]",,
Chợ,Chợ An Hội,"RJRV+JR2, Phường 8, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Chợ,,,,,,3601412439069935239,0x317529003e0601f1:0x31fac988406fc687,,,,10.8415138,106.6445077,,,,,,,,,,,,,,,,,,https://serpapi.com/search.json?data_id=0x317529003e0601f1%3A0x31fac988406fc687&engine=google_maps_photos&hl=en,ChIJ8QEGPgApdTERh8ZvQIjJ-jE,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ8QEGPgApdTERh8ZvQIjJ-jE,10,,/g/11yvsn_9wr,,https://serpapi.com/search.json?data_id=0x317529003e0601f1%3A0x31fac988406fc687&engine=google_maps_reviews&hl=en,https://serpapi.com/images/url/BlziLXicHc3BDcIgFADQbbgVaGu0Nfnx1Bi9a-LJUIpApPAtWNRpXMttNC7w3udtUsK4ZiymSak0W5XRPpSLBQqqQ9BOCbSRyjCyuWTJ3MfeC-s2KHywAxy92R1ect-JS9GV_HRrr7jNRPZn6azyCaISkzRU5584hYFqjCRDw4mBtiJPkaFeLGnV1KuKoE3SACf_5RJmKDn_AnP2OXc,,,,,,,,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VnhIUzcJEaf-E10Yq9kpGw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=346.28372&pitch=0&thumbfov=100,market,"[""market""]","[""Chợ""]",True,
